,latitude,longitude,year,predsoc,bushland,cropland,forest,grassland,mangrove,other,shrubland,thicket,wooded_grassland,woodland
248,-2.676215979,33.4732487,2021,4.2241,0,1,0,0,0,0,0,0,0,0
249,-2.670826087,33.47028426,2021,6.8662,0,1,0,0,0,0,0,0,0,0
250,-2.675946484,33.47136223,2021,7.0404,0,1,0,0,0,0,0,0,0,0
251,-2.672982044,33.47567415,2021,3.2824,0,1,0,0,0,0,0,0,0,0
252,-2.673790527,33.47082324,2021,9.52,0,1,0,0,0,0,0,0,0,0
253,-2.673521033,33.46920628,2021,7.8176,0,1,0,0,0,0,0,0,0,0
254,-2.671365076,33.47540465,2021,7.8866,0,1,0,0,0,0,0,0,0,0
255,-2.645224101,33.46731981,2021,5.5603,0,1,0,0,0,0,0,0,0,0
256,-2.642529156,33.46731981,2021,10.02,0,1,0,0,0,0,0,0,0,0
257,-2.646032585,33.46839779,2021,9.0538,0,1,0,0,0,0,0,0,0,0
258,-2.649805509,33.46920628,2021,4.9234,0,1,0,0,0,0,0,0,0,0
259,-2.644954607,33.46570285,2021,4.4554,0,1,0,0,0,0,0,0,0,0
260,-2.645493596,33.46408588,2021,13.6792,0,1,0,0,0,0,0,0,0,0
261,-2.649805509,33.4681283,2021,5.7101,0,1,0,0,0,0,0,0,0,0
262,-2.651422477,33.47190122,2021,10.2438,0,1,0,0,0,0,0,0,0,0
263,-2.642529156,33.46489436,2021,6.4116,0,1,0,0,0,0,0,0,0,0
264,-2.64926652,33.47082324,2021,6.381,0,1,0,0,0,0,0,0,0,0
265,-2.621508578,33.47459617,2021,7.2992,0,1,0,0,0,0,0,0,0,0
266,-2.625550997,33.46920628,2021,3.6798,0,1,0,0,0,0,0,0,0,0
267,-2.621508578,33.4729792,2021,5.6668,0,1,0,0,0,0,0,0,0,0
268,-2.628245943,33.47270971,2021,3.8271,0,1,0,0,0,0,0,0,0,0
269,-2.627167964,33.47109274,2021,4.4537,0,1,0,0,0,0,0,0,0,0
270,-2.629323921,33.46947577,2021,6.5503,0,0,0,1,0,0,0,0,0,0
271,-2.625281502,33.4732487,2021,6.6678,0,1,0,0,0,0,0,0,0,0
272,-2.622586556,33.47378768,2021,4.804,0,1,0,0,0,0,0,0,0,0
273,-2.62986291,33.47001476,2021,11.3655,0,0,0,1,0,0,0,0,0,0
274,-2.624203524,33.47621314,2021,4.3632,0,1,0,0,0,0,0,0,0,0
275,-2.689690708,33.49669472,2021,3.7202,0,1,0,0,0,0,0,0,0,0
276,-2.690499192,33.49723371,2021,10.0824,0,0,0,1,0,0,0,0,0,0
277,-2.686995762,33.49723371,2021,6.8117,0,1,0,0,0,0,0,0,0,0
278,-2.68861273,33.49399978,2021,9.1432,0,1,0,0,0,0,0,0,0,0
279,-2.692385654,33.49912018,2021,7.2143,0,0,0,1,0,0,0,0,0,0
280,-2.686726268,33.49615574,2021,4.3287,0,1,0,0,0,0,0,0,0,0
281,-2.690499192,33.49992866,2021,6.7773,0,1,0,0,0,0,0,0,0,0
282,-2.689960203,33.49507776,2021,4.663,0,1,0,0,0,0,0,0,0,0
283,-2.669748109,33.49399978,2021,5.6527,0,1,0,0,0,0,0,0,0,0
284,-2.668939625,33.49211332,2021,5.5367,0,1,0,0,0,0,0,0,0,0
285,-2.669209119,33.49211332,2021,7.0155,0,1,0,0,0,0,0,0,0,0
286,-2.666783668,33.49507776,2021,4.646,0,1,0,0,0,0,0,0,0,0
287,-2.670017603,33.48672342,2021,4.9572,0,1,0,0,0,0,0,0,0,0
288,-2.66867013,33.48591494,2021,4.0541,0,1,0,0,0,0,0,0,0,0
289,-2.669209119,33.49426927,2021,3.6528,0,1,0,0,0,0,0,0,0,0
290,-2.670287098,33.48995736,2021,3.8493,0,1,0,0,0,0,0,0,0,0
291,-2.668939625,33.48699292,2021,4.2279,0,1,0,0,0,0,0,0,0,0
292,-2.671904065,33.48699292,2021,4.0643,0,1,0,0,0,0,0,0,0,0
293,-2.657081863,33.49184382,2021,3.9164,0,1,0,0,0,0,0,0,0,0
294,-2.656273379,33.49211332,2021,5.009,0,1,0,0,0,0,0,0,0,0
295,-2.653578434,33.49211332,2021,4.9955,0,1,0,0,0,0,0,0,0,0
296,-2.657081863,33.49723371,2021,9.7635,0,1,0,0,0,0,0,0,0,0
297,-2.653578434,33.49426927,2021,8.6396,0,1,0,0,0,0,0,0,0,0
298,-2.659507314,33.49588624,2021,8.6969,0,1,0,0,0,0,0,0,0,0
299,-2.658159841,33.49750321,2021,7.5682,0,1,0,0,0,0,0,0,0,0
300,-2.653578434,33.49103534,2021,5.7687,0,1,0,0,0,0,0,0,0,0
301,-2.658698831,33.49238281,2021,5.8658,0,1,0,0,0,0,0,0,0,0
302,-2.633635834,33.49373028,2021,8.6434,0,1,0,0,0,0,0,0,0,0
303,-2.630671394,33.49022685,2021,7.72,0,1,0,0,0,0,0,0,0,0
304,-2.631210383,33.4880709,2021,5.4486,0,1,0,0,0,0,0,0,0,0
305,-2.633096845,33.49453877,2021,12.5062,0,0,0,1,0,0,0,0,0,0
306,-2.633096845,33.49346079,2021,6.5979,0,1,0,0,0,0,0,0,0,0
307,-2.634983307,33.49184382,2021,10.3774,0,0,0,1,0,0,0,0,0,0
308,-2.631210383,33.49507776,2021,6.1623,0,1,0,0,0,0,0,0,0,0
309,-2.63336634,33.49130483,2021,5.403,0,1,0,0,0,0,0,0,0,0
310,-2.636061285,33.49103534,2021,31.8965,0,0,0,0,0,0,1,0,0,0
311,-2.705321394,33.51582884,2021,9.4605,0,1,0,0,0,0,0,0,0,0
312,-2.700470491,33.51906278,2021,9.2692,0,1,0,0,0,0,0,0,0,0
313,-2.705590888,33.51717631,2021,9.1888,0,0,0,1,0,0,0,0,0,0
314,-2.699662008,33.51960176,2021,5.0977,0,1,0,0,0,0,0,0,0,0
315,-2.703434932,33.52148823,2021,5.4767,0,1,0,0,0,0,0,0,0,0
316,-2.699392513,33.51933227,2021,3.3565,0,1,0,0,0,0,0,0,0,0
317,-2.703704426,33.52094924,2021,6.8173,0,1,0,0,0,0,0,0,0,0
318,-2.703973921,33.52067974,2021,8.1739,0,1,0,0,0,0,0,0,0,0
319,-2.70154847,33.52041025,2021,7.4419,0,1,0,0,0,0,0,0,0,0
320,-2.699931502,33.51717631,2021,10.9605,0,1,0,0,0,0,0,0,0,0
321,0.691657853,37.58088516,2021,11.8981,0,0,0,0,0,0,1,0,0,0
322,0.691657853,37.58088516,2021,10.5936,0,0,0,0,0,0,1,0,0,0
