longitude,latitude,year,LC,siteid,site,SOC
33.49912018,-2.692385654,2021,grassland,iseni_5_6,iseni,7.2143
33.49992866,-2.690499192,2021,cropland,iseni_5_8,iseni,6.7773
33.48672342,-2.670017603,2021,cropland,iseni_6_4,iseni,4.9572
33.48591494,-2.66867013,2021,cropland,iseni_6_5,iseni,4.0541
33.48995736,-2.670287098,2021,cropland,iseni_6_7,iseni,3.8493
33.48699292,-2.668939625,2021,cropland,iseni_6_8,iseni,4.2279
33.48699292,-2.671904065,2021,cropland,iseni_6_9,iseni,4.0643
33.49211332,-2.653578434,2021,cropland,iseni_7_14,iseni,4.9955
33.49723371,-2.657081863,2021,cropland,iseni_7_15,iseni,9.7635
33.49426927,-2.653578434,2021,cropland,iseni_7_4,iseni,8.6396
33.49588624,-2.659507314,2021,cropland,iseni_7_5,iseni,8.6969
33.49750321,-2.658159841,2021,cropland,iseni_7_6,iseni,7.5682
33.49103534,-2.653578434,2021,cropland,iseni_7_8,iseni,5.7687
33.49373028,-2.633635834,2021,cropland,iseni_8_1,iseni,8.6434
33.49022685,-2.630671394,2021,cropland,iseni_8_12,iseni,7.72
33.4880709,-2.631210383,2021,cropland,iseni_8_13,iseni,5.4486
33.49453877,-2.633096845,2021,grassland,iseni_8_15,iseni,12.5062
33.49346079,-2.633096845,2021,cropland,iseni_8_2,iseni,6.5979
33.49184382,-2.634983307,2021,grassland,iseni_8_3,iseni,10.3774
33.49507776,-2.631210383,2021,cropland,iseni_8_6,iseni,6.1623
33.49130483,-2.63336634,2021,cropland,iseni_8_7,iseni,5.403
33.49103534,-2.636061285,2021,shrubland,iseni_8_8,iseni,31.8965
33.51582884,-2.705321394,2021,cropland,iseni_9_1,iseni,9.4605
33.51906278,-2.700470491,2021,cropland,iseni_9_10,iseni,9.2692
33.51717631,-2.705590888,2021,grassland,iseni_9_11,iseni,9.1888
33.51960176,-2.699662008,2021,cropland,iseni_9_13,iseni,5.0977
33.52148823,-2.703434932,2021,cropland,iseni_9_15,iseni,5.4767
33.51933227,-2.699392513,2021,cropland,iseni_9_3,iseni,3.3565
33.52094924,-2.703704426,2021,cropland,iseni_9_4,iseni,6.8173
33.52067974,-2.703973921,2021,cropland,iseni_9_6,iseni,8.1739
33.52041025,-2.70154847,2021,cropland,iseni_9_7,iseni,7.4419
33.51717631,-2.699931502,2021,cropland,iseni_9_8,iseni,10.9605
37.58007668,0.730734568,2021,woodland,kalama_11_1,kalama,15.2747
37.58007668,0.730734568,2021,woodland,kalama_11_1,kalama,8.84045
37.57738173,0.732351535,2021,bushland,kalama_11_10,kalama,3.2723
37.57738173,0.732351535,2021,bushland,kalama_11_10,kalama,2.6401
37.58115466,0.725075182,2021,shrubland,kalama_11_12,kalama,2.6695
37.57630376,0.729926084,2021,shrubland,kalama_11_2,kalama,7.1389
37.58142415,0.728578611,2021,shrubland,kalama_11_3,kalama,3.4458
37.58142415,0.728578611,2021,shrubland,kalama_11_3,kalama,2.57125
37.57980719,0.73262103,2021,woodland,kalama_11_4,kalama,2.7141
37.57980719,0.73262103,2021,woodland,kalama_11_4,kalama,7.7608
37.58061567,0.724536192,2021,shrubland,kalama_11_5,kalama,2.8217
37.58061567,0.724536192,2021,shrubland,kalama_11_5,kalama,2.62385
37.58142415,0.726961644,2021,shrubland,kalama_11_7,kalama,4.3901
37.58142415,0.726961644,2021,shrubland,kalama_11_7,kalama,2.9199
37.58223264,0.723997203,2021,bushland,kalama_11_8,kalama,2.8358
37.58223264,0.723997203,2021,bushland,kalama_11_8,kalama,2.50825
37.58304112,0.728578611,2021,shrubland,kalama_11_9,kalama,2.7382
37.58304112,0.728578611,2021,shrubland,kalama_11_9,kalama,2.51765
37.57630376,0.754180597,2021,shrubland,kalama_12_15,kalama,2.9186
37.57630376,0.750138178,2021,bushland,kalama_12_3,kalama,4.2487
37.57630376,0.750138178,2021,bushland,kalama_12_3,kalama,2.87005
37.57684275,0.75202464,2021,bushland,kalama_12_9,kalama,2.9764
37.57684275,0.75202464,2021,bushland,kalama_12_9,kalama,3.7955
37.59678534,0.672793232,2021,shrubland,kalama_13_2,kalama,14.8911
37.59678534,0.672793232,2021,shrubland,kalama_13_2,kalama,14.3068
37.59570737,0.670098286,2021,shrubland,kalama_13_3,kalama,13.8088
37.59516838,0.669020308,2021,bushland,kalama_13_6,kalama,3.0388
37.59516838,0.669020308,2021,bushland,kalama_13_6,kalama,4.3687
37.60217524,0.667672835,2021,shrubland,kalama_13_7,kalama,6.4137
37.60217524,0.667672835,2021,shrubland,kalama_13_7,kalama,5.3288
37.60756513,0.690040885,2021,shrubland,kalama_14_5,kalama,5.0075
37.60756513,0.690040885,2021,shrubland,kalama_14_5,kalama,4.15325
37.60729563,0.689232402,2021,shrubland,kalama_14_7,kalama,6.1609
37.60729563,0.689232402,2021,shrubland,kalama_14_7,kalama,4.39225
37.60567867,0.729387095,2021,shrubland,kalama_15_1,kalama,7.6223
37.60567867,0.729387095,2021,shrubland,kalama_15_1,kalama,6.785
37.60540917,0.7291176,2021,shrubland,kalama_15_1,kalama,7.6223
37.60540917,0.7291176,2021,shrubland,kalama_15_1,kalama,6.785
37.60190574,0.724266698,2021,shrubland,kalama_15_10,kalama,8.0318
37.60190574,0.724266698,2021,shrubland,kalama_15_10,kalama,7.2307
37.59974978,0.722380236,2021,bushland,kalama_15_2,kalama,5.5533
37.59974978,0.722380236,2021,bushland,kalama_15_2,kalama,2.96825
37.60028877,0.72264973,2021,bushland,kalama_15_2,kalama,5.5533
37.60028877,0.72264973,2021,bushland,kalama_15_2,kalama,2.96825
37.60567867,0.726961644,2021,shrubland,kalama_15_6,kalama,13.6994
37.60567867,0.726961644,2021,shrubland,kalama_15_6,kalama,7.9277
37.60082776,0.721571752,2021,bushland,kalama_15_7,kalama,5.2811
37.60082776,0.721571752,2021,bushland,kalama_15_7,kalama,3.44145
37.60109726,0.721571752,2021,bushland,kalama_15_7,kalama,5.2811
37.60109726,0.721571752,2021,bushland,kalama_15_7,kalama,3.44145
37.60621765,0.728848106,2021,bushland,kalama_15_8,kalama,7.473
37.60621765,0.728848106,2021,bushland,kalama_15_8,kalama,6.7803
37.60648715,0.728848106,2021,bushland,kalama_15_8,kalama,7.473
37.60648715,0.728848106,2021,bushland,kalama_15_8,kalama,6.7803
37.60567867,0.752563629,2021,bushland,kalama_16_2,kalama,4.1246
37.60567867,0.752833124,2021,bushland,kalama_16_2,kalama,4.1246
37.5992108,0.749868683,2021,shrubland,kalama_16_4,kalama,12.4596
37.5992108,0.749868683,2021,shrubland,kalama_16_4,kalama,8.3387
37.6037922,0.753641608,2021,bushland,kalama_16_5,kalama,3.2136
37.6037922,0.753641608,2021,bushland,kalama_16_5,kalama,3.51705
37.6040617,0.751216156,2021,shrubland,kalama_16_6,kalama,3.8183
37.6040617,0.751216156,2021,shrubland,kalama_16_6,kalama,4.3956
37.60244473,0.749868683,2021,shrubland,kalama_16_7,kalama,12.4737
37.60244473,0.749868683,2021,shrubland,kalama_16_7,kalama,7.7119
37.60433119,0.747982221,2021,shrubland,kalama_16_9,kalama,21.1047
37.60433119,0.747982221,2021,shrubland,kalama_16_9,kalama,5.57665
37.5291422,0.673332221,2021,bushland,kalama_1_1,kalama,5.3569
37.5291422,0.673332221,2021,bushland,kalama_1_1,kalama,3.29795
37.52806423,0.677913629,2021,bushland,kalama_1_10,kalama,3.3375
37.52806423,0.677913629,2021,bushland,kalama_1_10,kalama,3.3578
37.53291513,0.677913629,2021,bushland,kalama_1_13,kalama,2.9932
37.52968119,0.671984748,2021,bushland,kalama_1_2,kalama,6.5981
37.52968119,0.671984748,2021,bushland,kalama_1_2,kalama,6.5823
37.53022018,0.678991608,2021,bushland,kalama_1_3,kalama,3.0509
37.53022018,0.678991608,2021,bushland,kalama_1_3,kalama,2.55595
37.53048968,0.673062727,2021,bushland,kalama_1_4,kalama,7.3059
37.53048968,0.673062727,2021,bushland,kalama_1_4,kalama,10.7334
37.53237614,0.676566156,2021,shrubland,kalama_1_5,kalama,3.4882
37.53237614,0.676566156,2021,shrubland,kalama_1_5,kalama,3.08135
37.53022018,0.680069586,2021,bushland,kalama_1_6,kalama,3.6609
37.53022018,0.680069586,2021,bushland,kalama_1_6,kalama,3.4191
37.53210664,0.673062727,2021,bushland,kalama_1_7,kalama,12.8659
